id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
13844,Malaria,Barnala,Barnala Life Care Centre,Senior Citizen,Surgery,249532,2644,2577,97.47,4.6
13845,Hypertension,Gurdaspur,Gurdaspur City Hospital,Teenager,Vaccination,229416,1144,762,66.61,2.6
13846,Asthma,Sangrur,Sangrur Health Centre,Adult,Medication,216016,3370,2097,62.23,3.0
13847,Liver Disease,Muktsar,Muktsar Multicare Hospital,Young Adult,Dialysis,143848,1202,900,74.88,3.1
13848,Liver Disease,Pathankot,Pathankot Prime Hospital,Middle Age,Medication,400408,2667,2104,78.89,2.6
13849,Dengue,Tarn Taran,Tarn Taran City Hospital,Middle Age,Dialysis,254947,4535,3638,80.22,2.9
13850,Thyroid Disorder,Amritsar,Amritsar Health Plus,Young Adult,Radiotherapy,184457,4161,2905,69.81,2.6
13851,Thyroid Disorder,Moga,Moga City Hospital,Senior Citizen,Physiotherapy,99791,286,222,77.62,3.0
13852,Diabetes,Kapurthala,Kapurthala Prime Healthcare,Adult,ICU Care,50882,2890,2116,73.22,2.7
13853,Liver Disease,Patiala,Patiala Advanced Medical Centre,Adult,Emergency Care,180027,1151,1138,98.87,4.4
13854,Pneumonia,Moga,Moga Prime Healthcare,Adult,Radiotherapy,49806,2989,2749,91.97,3.1
13855,Kidney Disease,Kapurthala,Kapurthala City Hospital,Adult,Vaccination,106601,731,658,90.01,4.3
13856,Liver Disease,Fazilka,Fazilka Multicare Hospital,Teenager,Dialysis,126123,3390,2283,67.35,5.0
13857,Kidney Disease,Ludhiana,Ludhiana Multicare Hospital,Adult,Radiotherapy,293767,3740,2447,65.43,3.5
13858,Dengue,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Counselling,20116,1203,1161,96.51,4.7
13859,Asthma,Ludhiana,Ludhiana Life Hospital,Teenager,Surgery,226330,2370,1433,60.46,4.2
13860,Tuberculosis,Mansa,Mansa Prime Hospital,Middle Age,Counselling,39380,2433,2036,83.68,3.6
13861,Cancer,Barnala,Barnala Multicare Hospital,Child,Counselling,5283,868,764,88.02,3.2
13862,Malaria,Nawanshahr,Nawanshahr Health Centre,Middle Age,Chemotherapy,247657,4821,3808,78.99,3.8
13863,Malaria,Muktsar,Muktsar City Hospital,Middle Age,Radiotherapy,257034,504,414,82.14,3.9
13864,Diabetes,Mansa,Mansa City Hospital,Young Adult,Physiotherapy,427191,2935,2078,70.8,3.7
13865,Tuberculosis,Barnala,Barnala Life Care Centre,Middle Age,Dialysis,126597,2434,2128,87.43,4.3
13866,Arthritis,Ludhiana,Ludhiana Advanced Medical Centre,Young Adult,Radiotherapy,122714,490,343,70.0,4.5
13867,Kidney Disease,Mohali,Mohali Multispeciality Hospital,Child,Radiotherapy,21360,744,710,95.43,3.2
13868,COVID-19,Kapurthala,Kapurthala Prime Healthcare,Young Adult,Physiotherapy,80088,1682,1386,82.4,4.0
13869,Tuberculosis,Sangrur,Sangrur City Hospital,Teenager,Counselling,224924,1360,1123,82.57,4.5
13870,Tuberculosis,Nawanshahr,Nawanshahr Prime Healthcare,Young Adult,ICU Care,91770,2419,1981,81.89,4.6
13871,Dengue,Patiala,Patiala Multicare Hospital,Teenager,Radiotherapy,87737,3475,3023,86.99,2.9
13872,Hypertension,Hoshiarpur,Hoshiarpur Multicare Hospital,Senior Citizen,Radiotherapy,21201,4227,2919,69.06,4.6
13873,Dengue,Abohar,Abohar Prime Hospital,Teenager,Surgery,294291,4905,4851,98.9,2.9
13874,Tuberculosis,Amritsar,Amritsar City Hospital,Young Adult,Radiotherapy,435955,295,185,62.71,4.3
13875,Tuberculosis,Amritsar,Amritsar City Hospital,Teenager,Dialysis,476531,530,372,70.19,2.6
13876,COVID-19,Khanna,Khanna City Hospital,Adult,Radiotherapy,459012,3236,2457,75.93,4.2
13877,Arthritis,Muktsar,Muktsar Health Centre,Child,Chemotherapy,184620,4475,2750,61.45,4.0
13878,Arthritis,Firozpur,Firozpur Multicare Hospital,Senior Citizen,Vaccination,252306,1393,1224,87.87,3.8
13879,Thyroid Disorder,Jalandhar,Jalandhar City Hospital,Child,Radiotherapy,42857,2123,1622,76.4,4.2
13880,Liver Disease,Mansa,Mansa Multicare Hospital,Child,Vaccination,142587,3611,2576,71.34,3.4
13881,Hypertension,Malerkotla,Malerkotla City Hospital,Young Adult,Medication,55114,4962,3081,62.09,3.8
13882,Thyroid Disorder,Firozpur,Firozpur Life Care Hospital,Young Adult,Chemotherapy,330797,2042,1290,63.17,3.0
13883,Tuberculosis,Kapurthala,Kapurthala Multicare Hospital,Adult,Surgery,361432,3874,3659,94.45,4.0
13884,Dengue,Firozpur,Firozpur Health Centre,Young Adult,Dialysis,120881,1172,828,70.65,2.9
13885,Typhoid,Pathankot,Pathankot Health Centre,Middle Age,Surgery,283265,140,95,67.86,3.4
13886,COVID-19,Ludhiana,Ludhiana Health Point,Senior Citizen,Physiotherapy,229330,3291,2721,82.68,2.9
13887,Arthritis,Tarn Taran,Tarn Taran Health Centre,Adult,Radiotherapy,457895,4528,2926,64.62,3.1
13888,Malaria,Patiala,Patiala Multicare Hospital,Teenager,Radiotherapy,119155,171,135,78.95,3.9
13889,Kidney Disease,Tarn Taran,Tarn Taran Prime Hospital,Young Adult,Vaccination,497172,2485,2135,85.92,3.2
13890,COVID-19,Abohar,Abohar City Hospital,Teenager,Physiotherapy,433077,1474,942,63.91,4.7
13891,Diabetes,Muktsar,Muktsar City Hospital,Middle Age,Radiotherapy,82506,2936,2539,86.48,3.4
13892,Kidney Disease,Rupnagar,Rupnagar Health Centre,Young Adult,ICU Care,456443,4304,4025,93.52,2.8
13893,Diabetes,Moga,Moga Life Care Hospital,Adult,Surgery,308420,1114,966,86.71,4.3
13894,Pneumonia,Mohali,Mohali City Hospital,Teenager,Vaccination,166062,4298,3143,73.13,4.2
13895,Pneumonia,Abohar,Abohar Prime Hospital,Child,Emergency Care,455941,1978,1267,64.05,4.9
13896,Kidney Disease,Patiala,Patiala Medical Centre,Senior Citizen,ICU Care,344575,4021,3515,87.42,3.1
13897,Thyroid Disorder,Firozpur,Firozpur Prime Medical Centre,Child,ICU Care,271698,2594,2274,87.66,3.0
13898,Cancer,Pathankot,Pathankot Multicare Hospital,Senior Citizen,Dialysis,421782,1229,889,72.34,4.9
13899,Diabetes,Barnala,Barnala Life Care Centre,Child,Emergency Care,477975,500,441,88.2,3.0
13900,Arthritis,Mansa,Mansa Prime Hospital,Child,Medication,423072,2285,2075,90.81,2.5
13901,Heart Disease,Faridkot,Faridkot Health Centre,Child,Emergency Care,191326,3839,3035,79.06,2.7
13902,Liver Disease,Khanna,Khanna Prime Healthcare,Young Adult,Radiotherapy,204745,161,159,98.76,3.5
13903,Asthma,Malerkotla,Malerkotla Health Centre,Child,Radiotherapy,410731,3053,2744,89.88,3.6
13904,Heart Disease,Patiala,Patiala Medical Centre,Teenager,Dialysis,49425,2466,1782,72.26,3.5
13905,Malaria,Kapurthala,Kapurthala Multicare Hospital,Child,Chemotherapy,448433,1422,1288,90.58,4.0
13906,Typhoid,Tarn Taran,Tarn Taran City Hospital,Senior Citizen,Counselling,456987,1973,1359,68.88,4.8
13907,Dengue,Moga,Moga Life Care Hospital,Young Adult,Physiotherapy,260456,598,524,87.63,3.3
13908,Hypertension,Mansa,Mansa City Hospital,Adult,Chemotherapy,322129,2458,1699,69.12,4.6
13909,Hypertension,Barnala,Barnala Multicare Hospital,Child,Physiotherapy,353474,1077,887,82.36,3.3
13910,Liver Disease,Hoshiarpur,Hoshiarpur Civil Hospital,Middle Age,Emergency Care,155880,242,196,80.99,2.8
13911,Cancer,Moga,Moga Health Centre,Adult,Chemotherapy,398496,4484,2866,63.92,3.9
13912,Dengue,Moga,Moga Multicare Hospital,Middle Age,Dialysis,403087,2586,2310,89.33,3.6
13913,Tuberculosis,Patiala,Patiala General Hospital,Teenager,Vaccination,53865,2278,2251,98.81,2.9
13914,Typhoid,Mohali,Mohali Multispeciality Hospital,Middle Age,ICU Care,451457,1465,1381,94.27,4.6
13915,Malaria,Ludhiana,Ludhiana Advanced Medical Centre,Teenager,Physiotherapy,380389,354,328,92.66,2.5
13916,Arthritis,Hoshiarpur,Hoshiarpur Health Centre,Teenager,Medication,416537,1315,1228,93.38,4.5
13917,Malaria,Firozpur,Firozpur Life Care Hospital,Adult,Medication,261478,234,227,97.01,3.8
13918,Hypertension,Tarn Taran,Tarn Taran Multicare Hospital,Middle Age,Radiotherapy,339931,708,509,71.89,2.7
13919,Hypertension,Ludhiana,Ludhiana Multicare Hospital,Young Adult,Dialysis,114259,4581,3136,68.46,2.8
13920,Asthma,Patiala,Patiala Life Care Hospital,Middle Age,Medication,276992,1705,1071,62.82,4.8
13921,Typhoid,Mohali,Mohali Health Centre,Senior Citizen,Emergency Care,321634,3405,2667,78.33,3.2
13922,Cancer,Hoshiarpur,Hoshiarpur Prime Hospital,Senior Citizen,Surgery,96368,98,95,96.94,4.3
13923,Cancer,Bathinda,Bathinda City Hospital,Adult,Surgery,259797,435,317,72.87,3.4
13924,Typhoid,Fazilka,Fazilka City Hospital,Child,Counselling,332478,4908,3424,69.76,2.8
13925,Diabetes,Barnala,Barnala Multicare Hospital,Adult,Vaccination,20180,664,561,84.49,4.2
13926,Arthritis,Amritsar,Amritsar Life Care Centre,Senior Citizen,Chemotherapy,279714,3025,2186,72.26,3.8
13927,Pneumonia,Rupnagar,Rupnagar City Hospital,Child,Chemotherapy,478079,1155,1045,90.48,4.2
13928,Pneumonia,Muktsar,Muktsar City Hospital,Teenager,Counselling,59380,3640,3380,92.86,3.9
13929,Thyroid Disorder,Hoshiarpur,Hoshiarpur Civil Hospital,Teenager,Physiotherapy,113545,897,600,66.89,2.6
13930,Malaria,Hoshiarpur,Hoshiarpur Prime Hospital,Adult,ICU Care,296880,781,560,71.7,4.3
13931,Thyroid Disorder,Moga,Moga Prime Healthcare,Young Adult,Vaccination,111370,3041,3016,99.18,3.7
13932,Cancer,Rupnagar,Rupnagar Health Centre,Child,Physiotherapy,484806,1607,1396,86.87,4.7
13933,Liver Disease,Rupnagar,Rupnagar Health Centre,Adult,Dialysis,230831,4834,4587,94.89,4.4
13934,Pneumonia,Kapurthala,Kapurthala Prime Healthcare,Adult,Surgery,338703,2360,2077,88.01,4.0
13935,Pneumonia,Nawanshahr,Nawanshahr Prime Healthcare,Adult,Counselling,395055,1398,1093,78.18,4.6
13936,Hypertension,Barnala,Barnala City Hospital,Adult,Counselling,451471,2555,1782,69.75,3.2
13937,Typhoid,Pathankot,Pathankot Health Centre,Middle Age,Medication,145388,4432,3851,86.89,2.5
13938,Liver Disease,Khanna,Khanna Health Centre,Senior Citizen,Chemotherapy,61493,1255,1222,97.37,2.9
13939,Asthma,Barnala,Barnala Life Care Centre,Young Adult,Surgery,421792,1203,1137,94.51,2.5
13940,Tuberculosis,Gurdaspur,Gurdaspur Health Centre,Adult,Chemotherapy,163297,2523,1709,67.74,4.5
13941,COVID-19,Mohali,Mohali City Hospital,Adult,Counselling,18833,4857,3037,62.53,3.7
13942,Cancer,Hoshiarpur,Hoshiarpur Prime Hospital,Adult,Counselling,494244,291,287,98.63,3.5
13943,Kidney Disease,Tarn Taran,Tarn Taran Health Centre,Adult,Medication,13798,3990,3199,80.18,2.9
13944,Heart Disease,Rupnagar,Rupnagar Prime Hospital,Child,Radiotherapy,319677,1528,1310,85.73,4.8
13945,Heart Disease,Abohar,Abohar Multicare Hospital,Young Adult,Surgery,321241,2416,2114,87.5,3.8
13946,Tuberculosis,Abohar,Abohar Prime Hospital,Adult,ICU Care,116928,3304,2402,72.7,4.6
13947,Hypertension,Hoshiarpur,Hoshiarpur City Hospital,Middle Age,Chemotherapy,110546,2015,1763,87.49,2.9
13948,Dengue,Khanna,Khanna Multicare Hospital,Adult,Medication,469263,1625,1472,90.58,4.8
13949,Malaria,Bathinda,Bathinda Advanced Hospital,Middle Age,Physiotherapy,455471,537,491,91.43,4.8
13950,Tuberculosis,Patiala,Patiala Life Care Hospital,Senior Citizen,Medication,234087,4136,3205,77.49,4.1
13951,Malaria,Mohali,Mohali Multispeciality Hospital,Child,ICU Care,223536,368,281,76.36,4.1
13952,Pneumonia,Patiala,Patiala Prime Healthcare,Senior Citizen,Vaccination,172202,2150,1579,73.44,4.0
13953,Liver Disease,Fazilka,Fazilka Prime Hospital,Child,Vaccination,183960,1410,1017,72.13,3.7
13954,Asthma,Ludhiana,Ludhiana Prime Hospital,Middle Age,Surgery,158581,778,543,69.79,2.7
13955,Dengue,Moga,Moga Multicare Hospital,Adult,Radiotherapy,150000,3024,2788,92.2,4.2
13956,Diabetes,Bathinda,Bathinda Health Centre,Middle Age,Medication,445671,3110,1902,61.16,4.9
13957,Pneumonia,Fazilka,Fazilka City Hospital,Young Adult,ICU Care,332467,2990,2361,78.96,2.9
13958,Asthma,Faridkot,Faridkot Health Centre,Child,Dialysis,287524,4890,4178,85.44,3.8
13959,Heart Disease,Khanna,Khanna Health Centre,Young Adult,Physiotherapy,293680,2165,1906,88.04,3.6
13960,Dengue,Kapurthala,Kapurthala Prime Healthcare,Adult,Surgery,222459,301,189,62.79,4.6
13961,Cancer,Mansa,Mansa Multicare Hospital,Senior Citizen,Dialysis,9879,4514,4419,97.9,3.4
13962,Tuberculosis,Nawanshahr,Nawanshahr City Hospital,Adult,Counselling,389012,2982,2619,87.83,4.5
13963,Thyroid Disorder,Jalandhar,Jalandhar Life Care Hospital,Adult,Physiotherapy,61292,4001,3463,86.55,5.0
13964,Thyroid Disorder,Nawanshahr,Nawanshahr Multicare Hospital,Child,Physiotherapy,375067,3126,2693,86.15,4.2
13965,Tuberculosis,Muktsar,Muktsar Prime Healthcare,Young Adult,Chemotherapy,279706,4193,3185,75.96,3.0
13966,Tuberculosis,Fazilka,Fazilka City Hospital,Teenager,Chemotherapy,142622,1796,1234,68.71,3.4
13967,Typhoid,Tarn Taran,Tarn Taran Health Centre,Adult,ICU Care,285009,1063,1055,99.25,3.4
13968,Diabetes,Tarn Taran,Tarn Taran Multicare Hospital,Child,Physiotherapy,430404,4964,4248,85.58,5.0
13969,Typhoid,Ludhiana,Ludhiana Advanced Medical Centre,Adult,Dialysis,487121,4478,2970,66.32,4.8
13970,COVID-19,Ludhiana,Ludhiana Advanced Medical Centre,Teenager,Emergency Care,131581,3099,2973,95.93,3.6
13971,Kidney Disease,Firozpur,Firozpur Health Centre,Child,Dialysis,445527,4329,3675,84.89,3.6
13972,Diabetes,Patiala,Patiala Life Care Hospital,Teenager,Medication,302900,767,580,75.62,3.7
13973,Kidney Disease,Malerkotla,Malerkotla Health Centre,Teenager,Emergency Care,323777,362,228,62.98,2.5
13974,COVID-19,Muktsar,Muktsar Health Centre,Adult,Chemotherapy,416473,3825,3596,94.01,4.0
13975,COVID-19,Pathankot,Pathankot Multicare Hospital,Middle Age,Counselling,154449,2099,1954,93.09,2.7
13976,Heart Disease,Pathankot,Pathankot Prime Hospital,Young Adult,Counselling,270226,2110,1861,88.2,3.2
13977,Liver Disease,Abohar,Abohar City Hospital,Teenager,Physiotherapy,437379,4225,3694,87.43,2.9
13978,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Child,Physiotherapy,256676,2305,2132,92.49,4.2
13979,Dengue,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,Medication,210696,3724,3305,88.75,3.1
13980,Liver Disease,Ludhiana,Ludhiana Multicare Hospital,Teenager,Counselling,207157,4603,3770,81.9,4.3
13981,Heart Disease,Mansa,Mansa City Hospital,Teenager,Chemotherapy,244691,1902,1727,90.8,2.8
13982,Asthma,Mohali,Mohali Multispeciality Hospital,Senior Citizen,Medication,249704,3105,1910,61.51,4.3
13983,Diabetes,Moga,Moga Prime Healthcare,Teenager,Vaccination,446789,3542,2208,62.34,3.7
13984,Heart Disease,Rupnagar,Rupnagar City Hospital,Middle Age,ICU Care,26407,3825,3429,89.65,4.7
13985,Dengue,Mohali,Mohali City Hospital,Child,Radiotherapy,419604,4829,2976,61.63,2.8
13986,Arthritis,Kapurthala,Kapurthala Health Centre,Adult,Dialysis,32513,346,265,76.59,4.9
13987,Tuberculosis,Rupnagar,Rupnagar City Hospital,Adult,ICU Care,468705,1675,1321,78.87,3.0
13988,Arthritis,Mansa,Mansa City Hospital,Senior Citizen,Surgery,113941,2632,1801,68.43,3.0
13989,Heart Disease,Moga,Moga Life Care Hospital,Adult,Radiotherapy,205896,4538,2921,64.37,3.6
13990,Dengue,Amritsar,Amritsar Multicare Hospital,Middle Age,ICU Care,466771,1817,1544,84.98,4.6
13991,Arthritis,Moga,Moga Prime Healthcare,Child,Radiotherapy,16206,3363,3256,96.82,2.9
13992,Hypertension,Firozpur,Firozpur Prime Medical Centre,Child,Physiotherapy,134753,2819,1889,67.01,3.7
13993,Tuberculosis,Faridkot,Faridkot Life Care Centre,Adult,Physiotherapy,167801,2409,2220,92.15,4.0
13994,Typhoid,Hoshiarpur,Hoshiarpur Advanced Medical Centre,Adult,Chemotherapy,492046,595,541,90.92,3.0
13995,Cancer,Ludhiana,Ludhiana Life Hospital,Young Adult,Vaccination,29499,2600,1734,66.69,3.7
13996,Cancer,Moga,Moga Multicare Hospital,Senior Citizen,Counselling,163318,612,482,78.76,3.7
13997,Heart Disease,Moga,Moga Life Care Hospital,Teenager,Surgery,228905,2775,2759,99.42,4.9
13998,Thyroid Disorder,Gurdaspur,Gurdaspur Prime Healthcare,Child,Physiotherapy,229723,276,175,63.41,4.5
13999,Pneumonia,Kapurthala,Kapurthala City Hospital,Adult,Radiotherapy,109330,3419,3244,94.88,4.1
14000,Kidney Disease,Firozpur,Firozpur Prime Medical Centre,Child,Dialysis,155663,3320,2461,74.13,3.3
14001,Tuberculosis,Gurdaspur,Gurdaspur City Hospital,Teenager,Medication,169043,1611,1506,93.48,3.6
14002,Heart Disease,Muktsar,Muktsar Prime Healthcare,Young Adult,Chemotherapy,395930,4918,4267,86.76,4.6
14003,Cancer,Abohar,Abohar City Hospital,Young Adult,Vaccination,451246,3535,3197,90.44,3.4
14004,Dengue,Bathinda,Bathinda Advanced Hospital,Adult,Chemotherapy,313733,180,175,97.22,4.6
14005,Malaria,Sangrur,Sangrur Life Care Centre,Senior Citizen,Radiotherapy,354295,1932,1824,94.41,3.8
14006,Pneumonia,Hoshiarpur,Hoshiarpur Multicare Hospital,Child,Physiotherapy,196002,2734,1993,72.9,4.5
14007,COVID-19,Kapurthala,Kapurthala Multicare Hospital,Child,Medication,431989,1863,1763,94.63,3.4
14008,Malaria,Bathinda,Bathinda Multicare Hospital,Young Adult,Dialysis,235008,3405,3068,90.1,3.8
14009,Asthma,Malerkotla,Malerkotla Health Centre,Young Adult,Surgery,209976,3301,2058,62.34,3.7
14010,Dengue,Hoshiarpur,Hoshiarpur Prime Hospital,Adult,Emergency Care,105369,3852,3360,87.23,3.8
14011,COVID-19,Sangrur,Sangrur Life Care Centre,Adult,Emergency Care,60406,4990,4866,97.52,4.9
14012,COVID-19,Mansa,Mansa City Hospital,Teenager,Physiotherapy,11209,1240,862,69.52,4.4
14013,Typhoid,Mohali,Mohali Multicare Hospital,Adult,Physiotherapy,89748,3983,3778,94.85,3.5
14014,Asthma,Muktsar,Muktsar Health Centre,Teenager,Chemotherapy,450143,1421,858,60.38,3.7
14015,Kidney Disease,Khanna,Khanna Prime Healthcare,Child,ICU Care,431336,4657,4360,93.62,2.7
14016,Malaria,Moga,Moga Multicare Hospital,Adult,Emergency Care,152915,2225,1787,80.31,3.5
14017,Hypertension,Nawanshahr,Nawanshahr Prime Healthcare,Senior Citizen,Counselling,24928,895,750,83.8,4.0
14018,Liver Disease,Jalandhar,Jalandhar Care Hospital,Senior Citizen,ICU Care,131009,540,476,88.15,4.7
14019,Diabetes,Firozpur,Firozpur Multicare Hospital,Child,Radiotherapy,331216,3344,3095,92.55,3.7
14020,Kidney Disease,Tarn Taran,Tarn Taran City Hospital,Middle Age,Chemotherapy,233061,863,718,83.2,4.5
14021,Heart Disease,Bathinda,Bathinda City Hospital,Adult,Medication,28779,1505,1316,87.44,2.7
14022,Tuberculosis,Sangrur,Sangrur Life Care Centre,Teenager,Radiotherapy,120743,1528,1263,82.66,2.7
14023,Dengue,Barnala,Barnala Multicare Hospital,Child,Medication,430760,795,666,83.77,4.5
14024,Dengue,Patiala,Patiala Advanced Medical Centre,Child,Emergency Care,98784,4462,3840,86.06,4.1
14025,Tuberculosis,Tarn Taran,Tarn Taran Prime Hospital,Middle Age,Chemotherapy,29789,4878,3980,81.59,4.7
14026,Cancer,Sangrur,Sangrur Prime Healthcare,Young Adult,Surgery,447867,3450,2836,82.2,2.5
14027,Tuberculosis,Muktsar,Muktsar Prime Healthcare,Adult,Emergency Care,462172,2006,1753,87.39,4.9
14028,Tuberculosis,Moga,Moga Prime Healthcare,Child,Emergency Care,51847,2379,1793,75.37,2.9
14029,Malaria,Firozpur,Firozpur City Hospital,Young Adult,Counselling,65701,506,449,88.74,4.5
14030,Malaria,Tarn Taran,Tarn Taran Multicare Hospital,Teenager,Counselling,439268,233,175,75.11,2.6
14031,Pneumonia,Gurdaspur,Gurdaspur Multicare Hospital,Child,ICU Care,64549,3833,3165,82.57,4.9
14032,Diabetes,Pathankot,Pathankot Multicare Hospital,Middle Age,Chemotherapy,374409,3904,3641,93.26,2.6
14033,Kidney Disease,Barnala,Barnala Multicare Hospital,Adult,ICU Care,361366,4853,3280,67.59,3.0
14034,Thyroid Disorder,Malerkotla,Malerkotla Health Centre,Adult,Counselling,79385,189,164,86.77,3.0
14035,Arthritis,Amritsar,Amritsar Health Plus,Adult,Counselling,219545,4125,2793,67.71,4.0
14036,Pneumonia,Ludhiana,Ludhiana Healthcare Centre,Teenager,ICU Care,436912,2594,1873,72.21,3.8
14037,Arthritis,Pathankot,Pathankot Life Care Centre,Adult,Chemotherapy,312295,1070,848,79.25,4.7
14038,Kidney Disease,Pathankot,Pathankot Life Care Centre,Senior Citizen,ICU Care,339920,4261,3461,81.23,2.5
14039,Dengue,Bathinda,Bathinda Prime Healthcare,Middle Age,Chemotherapy,242227,2060,1574,76.41,3.2
14040,Dengue,Fazilka,Fazilka Prime Hospital,Middle Age,Surgery,153640,1141,844,73.97,4.5
14041,Heart Disease,Faridkot,Faridkot Multicare Hospital,Young Adult,Dialysis,186173,4955,4172,84.2,2.9
14042,Cancer,Abohar,Abohar Multicare Hospital,Teenager,Chemotherapy,451380,4621,4601,99.57,3.7
14043,Tuberculosis,Faridkot,Faridkot Prime Hospital,Middle Age,Physiotherapy,140167,282,239,84.75,3.1
14044,Kidney Disease,Patiala,Patiala Life Care Hospital,Senior Citizen,Dialysis,299833,1769,1660,93.84,3.0
14045,Tuberculosis,Barnala,Barnala City Hospital,Young Adult,Chemotherapy,236209,4243,2872,67.69,4.8
14046,Thyroid Disorder,Rupnagar,Rupnagar City Hospital,Young Adult,Counselling,192092,185,170,91.89,4.4
14047,Typhoid,Sangrur,Sangrur Health Centre,Middle Age,Dialysis,156729,4038,2974,73.65,2.9
14048,Typhoid,Ludhiana,Ludhiana Life Hospital,Middle Age,Counselling,192268,4279,3897,91.07,4.9
14049,Arthritis,Gurdaspur,Gurdaspur Health Centre,Middle Age,Dialysis,480920,1512,1197,79.17,4.0
14050,Dengue,Mansa,Mansa Health Centre,Middle Age,Vaccination,51749,4957,4265,86.04,2.8
14051,Arthritis,Mohali,Mohali Health Centre,Middle Age,Medication,179584,424,386,91.04,4.4
14052,Asthma,Abohar,Abohar Health Centre,Young Adult,Medication,168711,1412,1203,85.2,3.8
14053,COVID-19,Khanna,Khanna Multicare Hospital,Teenager,ICU Care,387291,3296,3009,91.29,3.0
14054,Hypertension,Faridkot,Faridkot City Hospital,Middle Age,Medication,387880,1714,1699,99.12,3.4
14055,Typhoid,Rupnagar,Rupnagar Health Centre,Senior Citizen,Dialysis,215483,1991,1719,86.34,3.9
14056,Tuberculosis,Barnala,Barnala Life Care Centre,Teenager,Surgery,431999,4996,4410,88.27,4.8
14057,Cancer,Moga,Moga Multicare Hospital,Adult,Radiotherapy,392563,1437,999,69.52,3.7
14058,Kidney Disease,Khanna,Khanna Prime Healthcare,Teenager,Chemotherapy,485723,3337,3137,94.01,2.7
